episode,reward,length,monitor_activation_freq
245,204.679046,134,0.0
246,153.488958,134,0.0
247,91.843134,84,0.0
248,174.119543,155,0.0
249,176.327079,137,0.0
250,93.911479,91,0.0
251,47.779155,64,0.0
252,82.866274,85,0.0
253,89.73239,89,0.0
254,83.2962,83,0.0
255,132.126226,123,0.0
256,81.508522,71,0.0
257,86.044277,87,0.0
258,83.806857,74,0.0
259,159.972663,139,0.0
260,193.517824,174,0.0
261,185.290322,170,0.0
262,168.578588,143,0.0
263,130.794231,129,0.0
264,159.039826,131,0.0
265,172.160009,157,0.0
266,85.487818,89,0.0
267,80.123132,76,0.0
268,129.642115,143,0.0
269,85.855428,77,0.0
270,78.213417,85,0.0
271,77.79293,97,0.0
272,228.801496,159,0.0
273,239.390623,172,0.0
274,191.146103,153,0.0
275,200.723469,138,0.0
276,80.179136,72,0.0
277,206.954191,160,0.0
278,89.035507,86,0.0
279,81.720068,77,0.0
280,89.528687,66,0.0
281,222.874247,182,0.0
282,151.612547,110,0.0
283,82.682343,80,0.0
284,202.412088,153,0.0
285,79.398018,67,0.0
286,132.987615,116,0.0
287,209.172324,165,0.0
288,100.352117,92,0.0
289,125.06881,108,0.0
290,74.937809,64,0.0
291,212.786252,148,0.0
292,92.069145,81,0.0
293,79.00038,68,0.0
294,75.551661,66,0.0
295,198.091943,169,0.0
296,75.498429,81,0.0
297,231.525094,158,0.0
298,134.228375,109,0.0
299,92.508561,74,0.0
300,78.084746,71,0.0
301,73.453948,70,0.0
302,220.895627,156,0.0
303,209.212095,149,0.0
304,79.587023,73,0.0
305,207.914801,156,0.0
306,184.616006,136,0.0
307,145.651956,111,0.0
308,203.622312,149,0.0
309,204.141728,150,0.0
310,203.003961,152,0.0
311,197.894299,136,0.0
312,75.880086,68,0.0
313,78.548441,80,0.0
314,204.072413,145,0.0
315,81.60527,71,0.0
316,193.560087,164,0.0
317,466.770405,298,0.0
318,78.571804,74,0.0
319,76.314945,65,0.0
320,241.040585,179,0.0
321,83.574381,73,0.0
322,82.446442,65,0.0
323,238.013599,156,0.0
