episode,reward,length,monitor_activation_freq
245,251.46365,205,1.0
246,83.445532,69,1.0
247,295.561887,203,1.0
248,89.431477,88,1.0
249,137.613595,112,1.0
250,83.025388,66,1.0
251,87.241875,80,1.0
252,144.440396,138,1.0
253,94.961184,107,1.0
254,83.308205,98,1.0
255,81.422734,88,1.0
256,83.045995,84,1.0
257,82.557852,82,1.0
258,83.07559,86,1.0
259,78.752148,81,1.0
260,91.246049,78,1.0
261,335.867826,222,1.0
262,84.023645,71,1.0
263,121.093882,115,1.0
264,88.601084,92,1.0
265,85.932822,97,1.0
266,93.603855,76,1.0
267,185.770118,156,1.0
268,287.431736,203,1.0
269,84.471797,83,1.0
270,87.047011,80,1.0
271,83.797143,101,1.0
272,85.373738,90,1.0
273,137.412866,101,1.0
274,86.25956,70,1.0
275,204.261772,145,1.0
276,86.326284,85,1.0
277,89.179301,78,1.0
278,372.535493,274,1.0
279,78.289038,72,1.0
280,62.197386,59,1.0
281,414.949832,271,1.0
282,318.769528,226,1.0
283,136.121024,103,1.0
284,130.642517,106,1.0
285,167.928558,150,1.0
286,134.909036,108,1.0
287,314.858577,226,1.0
288,175.695646,144,1.0
289,313.839463,236,1.0
290,548.154674,377,1.0
291,114.330018,101,1.0
292,392.768917,252,1.0
293,324.957548,210,1.0
294,177.883938,140,1.0
295,534.624897,327,1.0
296,322.494743,202,1.0
297,869.564302,500,1.0
298,723.540438,417,1.0
299,196.851839,139,1.0
300,379.481917,219,1.0
301,343.232301,198,1.0
302,888.886678,500,1.0
303,364.271211,238,1.0
304,879.414573,500,1.0
